case_id,original,corrected
judgement_C_P_L_A_2788_2022,"2 The High Court allowed the writ petition against the concurrent orders of the Guardian Court and the appellate Court by holding inter alia that no third party, caregiver or guardian can be appointed a guardian in the stead of a biological parent of the child while the biological parent...","2 The High Court allowed the writ petition against the concurrent orders of the Guardian Court and the appellate Court by holding inter alia that no third party, caregiver or guardian can be appointed a guardian in the stead of a biological parent of the child while the biological parent..."
judgement_J_P_554_2023,"On the same day, the petitioner and acquitted co-accused were arrested by Ghulam Saboor Khan ASI, who recovered a Kalashnikov bearing No. Upon the arrest of the petitioner and the co-accused since acquitted, and completion of the investigation, separate reports under Section 173 Cr.P.C, in both the FIRs were submitted...","On the same day, the petitioner and acquitted co - accused were arrested by Ghulam Labor Khan ASI, who recovered a Kalashnikov bearing No. Upon the arrest of the petitioner and the co - accused since acquitted, and completion of the investigation, separate reports under Section 173 Cr. P. C, in both the Firs were submitted..."
judgement_Crl_P_L_A_1033_2025,"The brief facts of the case as alleged in the instant FIR are that on 03.04.2025 at 2320 hours, Abu Bakar the Deceased , aged 1516 years, was allegedly taken by the accused Basit to the Petitioner and accused Shahid. Learned counsel for the Petitioner contends that the Complainant has...","The brief facts of the case as alleged in the instant FIR are that on 03.04.2025 at 2320 hours, Abu Bakr the Deceased, aged 1516 years, was allegedly taken by the accused Basis to the Petitioner and accused Shahid. Learned counsel for the Petitioner contends that the Complainant has..."
judgement_Crl_P_L_A_1184_2025,"M azhar Ali Haider, Advocate in all cases For the State Syed Zulfiqar Abbas Naqvi, Special Prosecutor, Punjab Assisted by M r. M udassar H ussain M alik, ASC Dr. Chief Justice Judge Judge Islamabad, the 21st of August, 2025 Not approved for reporting.","M Azar Ali Harder, Advocate in all cases For the State Syed Cultivar Abbas Naevi, Special Prosecutor, Punjab Assisted by M r. M Vassar Hussain Malik, ASC Dr. Chief Justice Judge Islamabad, the 21st of August 2025 Not approved for reporting."
judgement_Crl_P_L_A_745_2025,"16268-B2025 Abid ...Petitioner Versus The State through Prosecutor General Punjab and another ...Respondents For the Petitioners Syed Khawar Ameer Bukhari, ASC Syed Rifaqat Hussain Shah, AOR For the State Mr. Judge Judge Judge Islamabad 09.07.2025 Khalid Approved for reporting","16268 - B2025 Acid... Petitioner Versus The State through Prosecutor General Punjab and another... Respondents For the Petitioners Syed Khazar Amber Bukhara, ASC Syed Rift Hussain Shah, AOR For the State Mr. Judge Islamabad 09.07.2025 Khalid Approved for reporting"
judgement_C_P_L_A_1107-L_2015,Marriage under Islamic law is regarded both as an act of devotion ibadat and a social transaction muamalat.,Marriage under Islamic law is regarded both as an act of devotion Ibadan and a social transaction mudflat.
judgement_Crl_P_L_A_1055_2025,The report of the firearm expert confirms that no empty was fired from the .30 bore pistol allegedly recovered from the Chalian has already been submitted in November 2024 but till date prosecution has not examined any witness at the trial. The petitioner g in judicial custody is no more...,The report of the firearm expert confirms that no empty was fired from the.30 bore pistol allegedly recovered from the Chadian has already been submitted in November 2024 but till date prosecution has not examined any witness at the trial. The petitioner g in judicial custody is no more...
judgement_Crl_A_351_2023,"Appeal Nos.351, 352 353 of 2023 3 accused, who disclosed his name as Saddam Kakar appellant. According to the prosecution s case, Azhar Hussain appellant inflicted a rod blow on the body of Abdul Rehman deceased, during the occurrence but none of the prosecution eyewitness had stated that Azhar Hsusain...","Appeal Nos.351, 352 353 of 2023 3 accused, who disclosed his name as Saddam Dakar appellant. According to the prosecution's case, Azar Hussain appellant inflicted a rod blow on the body of Abdul Rehman deceased, during the occurrence but none of the prosecution eyewitness had stated that Azar Hussain..."
judgement_Crl_P_L_A_585_2025,"JUSTICE SYED HASAN AZHAR RIZVI MR. The injuries attributed to both the petitioners were declared by the concerned Medical Officer to be punishable under section 337Aii PPC. JUDGE JUDGE Islamabad, the 2nd of September, 2025 Not Approved For Reporting","JUSTICE SYED HASAN AZAR RAVI MR. The injuries attributed to both the petitioners were declared by the concerned Medical Officer to be punishable under section 337Aii PPC. JUDGE Islamabad, the 2nd of September 2025 Not Approved For Reporting"
judgement_Crl_P_L_A_433_2025,"On December 14, 2022, at 830 p.m., the prosecution apprehended the petitioner from Kanan Sian Chowk. He shall be released forthwith if not required to be detained in any other case.","On December 14, 2022, at 830 p.m., the prosecution apprehended the petitioner from Kazan Sian Chow. He shall be released forthwith if not required to be detained in any other case."
