Query Case No.,Rank,Similar Case No.,Similarity Score
Copy of JUDG__1,1,Copy of JUDG__91,0.2394
Copy of JUDG__1,2,Copy of JUDG__93,0.208
Copy of JUDG__1,3,judgement_J_P_559_2017,0.2044
Copy of JUDG__1,4,Copy of JUDG__45,0.1999
Copy of JUDG__1,5,Copy of JUDG__76,0.1969
Copy of JUDG__10,1,judgement_C_P_L_A_3824_2023,0.2278
Copy of JUDG__10,2,Copy of JUDG__37,0.1875
Copy of JUDG__10,3,judgement_C_P_L_A_2555_2022,0.1822
Copy of JUDG__10,4,judgement_Crl_P_L_A_433_2025,0.1763
Copy of JUDG__10,5,Copy of JUDG__7489,0.1756
Copy of JUDG__101,1,judgement_Crl_P_L_A_1184_2025,0.2403
Copy of JUDG__101,2,Copy of JUDG__9366,0.2136
Copy of JUDG__101,3,Copy of JUDG__7489,0.1714
Copy of JUDG__101,4,Copy of JUDG__94,0.1525
Copy of JUDG__101,5,Copy of JUDG__86,0.1451
Copy of JUDG__102,1,Copy of JUDG__61,0.2683
Copy of JUDG__102,2,judgement_C_A_1388_2017,0.2584
Copy of JUDG__102,3,judgement_C_P_L_A_74_2025,0.2436
Copy of JUDG__102,4,judgement_C_P_L_A_1032-K_2025,0.2094
Copy of JUDG__102,5,Copy of JUDG__37,0.2024
Copy of JUDG__103,1,Copy of JUDG__71,0.3035
Copy of JUDG__103,2,judgement_C_P_L_A_2788_2022,0.2221
Copy of JUDG__103,3,Copy of JUDG__45,0.2016
Copy of JUDG__103,4,judgement_Crl_A_343_2023,0.1985
Copy of JUDG__103,5,Copy of JUDG__55,0.1963
Copy of JUDG__104,1,Copy of JUDG__49,0.2621
Copy of JUDG__104,2,Copy of JUDG__43,0.2054
Copy of JUDG__104,3,Copy of JUDG__7222,0.1957
Copy of JUDG__104,4,Copy of JUDG__87,0.1927
Copy of JUDG__104,5,Copy of JUDG__41,0.1913
Copy of JUDG__105,1,Copy of JUDG__28,0.344
Copy of JUDG__105,2,judgement_C_A_209_2025,0.2276
Copy of JUDG__105,3,Copy of JUDG__5,0.2063
Copy of JUDG__105,4,Copy of JUDG__78,0.2022
Copy of JUDG__105,5,Copy of JUDG__88,0.2005
Copy of JUDG__11,1,Copy of JUDG__4,0.1982
Copy of JUDG__11,2,Copy of JUDG__63,0.1961
Copy of JUDG__11,3,Copy of JUDG__6657,0.1944
Copy of JUDG__11,4,Copy of JUDG__21,0.1833
Copy of JUDG__11,5,Copy of JUDG__87,0.1727
Copy of JUDG__12,1,judgement_J_P_286_2020,0.2665
Copy of JUDG__12,2,Copy of JUDG__39,0.2405
Copy of JUDG__12,3,Copy of JUDG__86,0.2021
Copy of JUDG__12,4,judgement_C_P_L_A_74_2025,0.2003
Copy of JUDG__12,5,judgement_Crl_P_L_A_960_2025,0.1922
Copy of JUDG__13,1,judgement_Crl_P_L_A_585_2025,0.228
Copy of JUDG__13,2,judgement_C_P_L_A_88-P_2022,0.191
Copy of JUDG__13,3,judgement_J_P_559_2017,0.1785
Copy of JUDG__13,4,judgement_Crl_P_L_A_1121_2021,0.1737
Copy of JUDG__13,5,judgement_C_A_209_2025,0.17
Copy of JUDG__14,1,Copy of JUDG__4998,0.2376
Copy of JUDG__14,2,Copy of JUDG__4,0.224
Copy of JUDG__14,3,Copy of JUDG__2,0.223
Copy of JUDG__14,4,Copy of JUDG__83,0.1983
Copy of JUDG__14,5,judgement_C_P_L_A_407-K_2021,0.1977
Copy of JUDG__15,1,Copy of JUDG__93,0.2319
Copy of JUDG__15,2,Copy of JUDG__39,0.1916
Copy of JUDG__15,3,Copy of JUDG__103,0.1664
Copy of JUDG__15,4,Copy of JUDG__64,0.1642
Copy of JUDG__15,5,Copy of JUDG__7489,0.1468
Copy of JUDG__16,1,Copy of JUDG__93,0.2212
Copy of JUDG__16,2,Copy of JUDG__78,0.2193
Copy of JUDG__16,3,Copy of JUDG__4998,0.205
Copy of JUDG__16,4,Copy of JUDG__21,0.2034
Copy of JUDG__16,5,Copy of JUDG__47,0.1986
Copy of JUDG__17,1,judgement_J_P_554_2023,0.2698
Copy of JUDG__17,2,Copy of JUDG__27,0.2238
Copy of JUDG__17,3,Copy of JUDG__31,0.2114
Copy of JUDG__17,4,Copy of JUDG__4,0.2085
Copy of JUDG__17,5,Copy of JUDG__9700,0.191
Copy of JUDG__18,1,Copy of JUDG__35,0.205
Copy of JUDG__18,2,Copy of JUDG__27,0.2024
Copy of JUDG__18,3,judgement_C_P_L_A_1107-L_2015,0.1999
Copy of JUDG__18,4,Copy of JUDG__8036,0.1999
Copy of JUDG__18,5,Copy of JUDG__14,0.1968
Copy of JUDG__19,1,Copy of JUDG__37,0.2458
Copy of JUDG__19,2,Copy of JUDG__88,0.2218
Copy of JUDG__19,3,Copy of JUDG__63,0.1991
Copy of JUDG__19,4,judgement_Crl_P_L_A_147-K_2025,0.1975
Copy of JUDG__19,5,judgement_C_P_L_A_1107-L_2015,0.1902
Copy of JUDG__2,1,judgement_Crl_P_L_A_868_2025,0.2264
Copy of JUDG__2,2,Copy of JUDG__14,0.223
Copy of JUDG__2,3,Copy of JUDG__49,0.2199
Copy of JUDG__2,4,judgement_Crl_P_L_A_966_2018,0.2052
