query_case,rank,similar_case,score
Copy of JUDG__1,1,Copy of JUDG__4,0.5742611289024353
Copy of JUDG__1,2,Copy of JUDG__11,0.5431532859802246
Copy of JUDG__1,3,judgement_Crl_P_L_A_147-K_2025,0.5424065589904785
Copy of JUDG__1,4,Copy of JUDG__34,0.5347315073013306
Copy of JUDG__1,5,judgement_C_P_L_A_1032-K_2025,0.5270172357559204
Copy of JUDG__10,1,Copy of JUDG__99,0.645780086517334
Copy of JUDG__10,2,Copy of JUDG__18,0.6312993764877319
Copy of JUDG__10,3,Copy of JUDG__91,0.6285598278045654
Copy of JUDG__10,4,Copy of JUDG__5,0.6267250776290894
Copy of JUDG__10,5,Copy of JUDG__9,0.6267250776290894
Copy of JUDG__101,1,Copy of JUDG__102,0.6224914193153381
Copy of JUDG__101,2,Copy of JUDG__91,0.603008508682251
Copy of JUDG__101,3,Copy of JUDG__20,0.5860015749931335
Copy of JUDG__101,4,Copy of JUDG__75,0.5807409286499023
Copy of JUDG__101,5,judgement_Crl_P_L_A_1033_2025,0.5796948075294495
Copy of JUDG__102,1,Copy of JUDG__101,0.6224914193153381
Copy of JUDG__102,2,judgement_J_P_375_2023,0.5718823075294495
Copy of JUDG__102,3,Copy of JUDG__6,0.566360354423523
Copy of JUDG__102,4,judgement_Crl_P_L_A_960_2025,0.5610771179199219
Copy of JUDG__102,5,Copy of JUDG__9,0.5596540570259094
Copy of JUDG__103,1,Copy of JUDG__82,0.5481042265892029
Copy of JUDG__103,2,Copy of JUDG__34,0.5198849439620972
Copy of JUDG__103,3,Copy of JUDG__31,0.4957425594329834
Copy of JUDG__103,4,Copy of JUDG__22,0.4894492030143738
Copy of JUDG__103,5,Copy of JUDG__3,0.48858344554901123
Copy of JUDG__104,1,judgement_J_P_611_2022,0.5607802867889404
Copy of JUDG__104,2,judgement_Crl_P_L_A_39-K_2025,0.5426099300384521
Copy of JUDG__104,3,Copy of JUDG__51,0.5387852191925049
Copy of JUDG__104,4,judgement_Crl_A_343_2023,0.5217475891113281
Copy of JUDG__104,5,Copy of JUDG__59,0.507702648639679
Copy of JUDG__105,1,Copy of JUDG__66,0.7534568905830383
Copy of JUDG__105,2,Copy of JUDG__42,0.700263500213623
Copy of JUDG__105,3,Copy of JUDG__6,0.700003981590271
Copy of JUDG__105,4,Copy of JUDG__68,0.6909456849098206
Copy of JUDG__105,5,judgement_Crl_P_L_A_1184_2025,0.6799427270889282
Copy of JUDG__11,1,Copy of JUDG__32,0.7362017631530762
Copy of JUDG__11,2,judgement_Crl_P_L_A_147-K_2025,0.7164452075958252
Copy of JUDG__11,3,Copy of JUDG__53,0.6715991497039795
Copy of JUDG__11,4,Copy of JUDG__4,0.660744845867157
Copy of JUDG__11,5,Copy of JUDG__61,0.648921012878418
Copy of JUDG__12,1,Copy of JUDG__79,0.7274570465087891
Copy of JUDG__12,2,Copy of JUDG__68,0.6878001689910889
Copy of JUDG__12,3,Copy of JUDG__58,0.661003589630127
Copy of JUDG__12,4,Copy of JUDG__51,0.6559568643569946
Copy of JUDG__12,5,Copy of JUDG__75,0.6453375220298767
Copy of JUDG__13,1,Copy of JUDG__6,0.6983622312545776
Copy of JUDG__13,2,Copy of JUDG__93,0.689717173576355
Copy of JUDG__13,3,Copy of JUDG__42,0.6875137090682983
Copy of JUDG__13,4,Copy of JUDG__83,0.6851505637168884
Copy of JUDG__13,5,Copy of JUDG__58,0.6782723665237427
Copy of JUDG__14,1,Copy of JUDG__11,0.561204195022583
Copy of JUDG__14,2,Copy of JUDG__36,0.5260374546051025
Copy of JUDG__14,3,judgement_C_P_L_A_5516_2024,0.511561930179596
Copy of JUDG__14,4,Copy of JUDG__84,0.4891253113746643
Copy of JUDG__14,5,Copy of JUDG__39,0.4891253113746643
Copy of JUDG__15,1,Copy of JUDG__73,0.7093459367752075
Copy of JUDG__15,2,Copy of JUDG__50,0.6835992336273193
Copy of JUDG__15,3,Copy of JUDG__72,0.6828334927558899
Copy of JUDG__15,4,Copy of JUDG__8,0.6647974252700806
Copy of JUDG__15,5,Copy of JUDG__18,0.663176417350769
Copy of JUDG__16,1,Copy of JUDG__58,0.7119036316871643
Copy of JUDG__16,2,Copy of JUDG__5,0.6827704906463623
Copy of JUDG__16,3,Copy of JUDG__9,0.6827704906463623
Copy of JUDG__16,4,Copy of JUDG__59,0.6617489457130432
Copy of JUDG__16,5,Copy of JUDG__75,0.6418631076812744
Copy of JUDG__17,1,Copy of JUDG__66,0.7365818023681641
Copy of JUDG__17,2,Copy of JUDG__93,0.7111901044845581
Copy of JUDG__17,3,Copy of JUDG__68,0.7098662853240967
Copy of JUDG__17,4,Copy of JUDG__22,0.6810948848724365
Copy of JUDG__17,5,Copy of JUDG__6,0.666330873966217
Copy of JUDG__18,1,Copy of JUDG__85,0.696742832660675
Copy of JUDG__18,2,Copy of JUDG__8,0.69413161277771
Copy of JUDG__18,3,Copy of JUDG__6,0.6814324259757996
Copy of JUDG__18,4,judgement_Crl_P_L_A_1184_2025,0.677314043045044
Copy of JUDG__18,5,judgement_C_P_L_A_4-K_2025,0.6723490953445435
Copy of JUDG__19,1,Copy of JUDG__99,0.483323335647583
Copy of JUDG__19,2,Copy of JUDG__93,0.48009610176086426
Copy of JUDG__19,3,Copy of JUDG__34,0.4800325036048889
Copy of JUDG__19,4,judgement_C_A_209_2025,0.4749644994735718
Copy of JUDG__19,5,judgement_Crl_P_L_A_1184_2025,0.4680127501487732
Copy of JUDG__2,1,Copy of JUDG__4,0.5429614782333374
Copy of JUDG__2,2,judgement_C_P_L_A_2788_2022,0.4837276339530945
Copy of JUDG__2,3,judgement_Crl_P_L_A_147-K_2025,0.4704345762729645
Copy of JUDG__2,4,judgement_J_P_286_2020,0.4644063711166382
Copy of JUDG__2,5,Copy of JUDG__34,0.4547243118286133
Copy of JUDG__20,1,Copy of JUDG__55,0.6710163950920105
Copy of JUDG__20,2,Copy of JUDG__63,0.6691807508468628
Copy of JUDG__20,3,Copy of JUDG__85,0.6667790412902832
Copy of JUDG__20,4,judgement_Crl_P_L_A_147-K_2025,0.6317113637924194
Copy of JUDG__20,5,Copy of JUDG__18,0.6305925250053406
Copy of JUDG__21,1,Copy of JUDG__91,0.6134203672409058
Copy of JUDG__21,2,Copy of JUDG__68,0.5760596990585327
Copy of JUDG__21,3,Copy of JUDG__69,0.5714439153671265
Copy of JUDG__21,4,Copy of JUDG__79,0.5637377500534058
Copy of JUDG__21,5,Copy of JUDG__99,0.5557299852371216
Copy of JUDG__22,1,Copy of JUDG__17,0.6810948848724365
